# This file is built from NewRisingSun's "NES and Famicom Accurate Cartridge Information Database"
# as available here: http://nerdlypleasures.blogspot.com/2020/04/the-nes-and-famicom-accurate-cartridge.html
# Last retrieved on 2020-05-24
# For now, I've just included the data for the US releases.

# Game Name A-Z, PRG-ROM, CHR-ROM, Misc ROM, Mapper, Mirror + Flag, PPU, PRG-RAM, PRG-RAM B, CHR-RAM, CHR-RAM B, Console, Controller, CRC32

# Licensed NA
# -----------
Balloon Fight (USA).nes,16,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,401349A8
Bandai Golf - Challenge Pebble Beach (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,6CD46979
Bandit Kings of Ancient China (USA).nes,256,128,0,5.00,HB,RP2C02,8K,8K,0,0,Normal,Standard,15FE6D0F
Barbie (USA) (Rev 1).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,18B249E5
"Bard's Tale, The (USA).nes",128,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,9B821A83
Barker Bill's Trick Shooting (USA).nes,64,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Zapper,4318A2F8
"Baseball (USA, Europe).nes",16,8,0,0.00,H,any,0,0,0,0,Normal,Standard,AFDCBD24
Baseball Simulator 1.000 (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,1F6EA423
Baseball Stars (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,40D159B6
Baseball Stars II (USA).nes,256,128,0,4.00,HB,RP2C02,0,8K,0,0,Normal,Standard,18A9F0D9
Bases Loaded (USA) (Rev 2).nes,256,64,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,6ABAD366
Bases Loaded 3 (USA).nes,256,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,3ECA3DDA
Bases Loaded 4 (USA).nes,256,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,28F9B41F
Bases Loaded II - Second Season (USA).nes,256,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,B9CF171F
Batman - Return of the Joker (USA).nes,128,256,0,69.00,H,RP2C02,8K,0,0,0,Normal,Standard,03EC46AF
Batman - The Video Game (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,13C6617E
Batman Returns (USA).nes,128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,C247A23D
Battle Chess (USA).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,2C2DDFB4
"Battle of Olympus, The (USA).nes",128,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,6B53006A
Battleship (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,50CCC8ED
Battletoads (USA).nes,256,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,279710DC
Battletoads-Double Dragon (USA).nes,256,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,CEB65B06
Beetlejuice (USA).nes,128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,EB84C54C
Best of the Best - Championship Karate (USA).nes,256,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,A6A725B8
Bigfoot (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,C42E648A
Bill & Ted's Excellent Video Game Adventure (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,C4B6ED3C
Bill Elliott's NASCAR Challenge (USA).nes,128,256,0,4.00,V,RP2C02,8K,0,0,0,Normal,Standard,847D672D
Bionic Commando (USA).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,D2574720
"Black Bass, The (USA).nes",128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,1D0F4D6B
Blades of Steel (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,8AB52A24
Blaster Master (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,3F0FD764
"Blue Marlin, The (USA).nes",128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,F37BEFD5
"Blues Brothers, The (USA).nes",128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,9F2EEF20
Bo Jackson Baseball (USA).nes,128,256,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,5FD2AAB1
Bomberman (USA).nes,16,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,DB9DCF89
Bomberman II (USA).nes,128,0,0,1.00,H,RP2C02,8K,0,8K,0,Normal,FourScore,1EBB5B42
Bonk's Adventure (USA).nes,256,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,4E44FF44
Boulder Dash (USA).nes,32,32,0,1.05,H,RP2C02,0,0,0,0,Normal,Standard,A8F4D99E
Bram Stoker's Dracula (USA).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,DFA111F1
Break Time - The National Pool Tour (USA).nes,128,32,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,5F0BCE2A
BreakThru (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,A5E8D2CD
Bubble Bobble (USA).nes,128,32,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,5E900522
Bubble Bobble Part 2 (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,E095C3F2
Bucky O'Hare (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,E19EE99C
"Bugs Bunny Birthday Blowout, The (USA).nes",128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,126EBF66
"Bugs Bunny Crazy Castle, The (USA).nes",64,32,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,E50A9130
Bump 'n' Jump (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,A0A095C4
Burai Fighter (USA).nes,32,32,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,CE228874
BurgerTime (USA).nes,16,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,DAF9D7E3
Cabal (USA).nes,128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,BDF046EF
Caesars Palace (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,DB1D03E5
California Games (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,2F66E302
Capcom's Gold Medal Challenge '92 (USA).nes,128,128,0,4.00,VB,RP2C02,0,8K,0,0,Normal,Standard,BE250388
Captain America and the Avengers (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,58C7DDAF
Captain Planet and the Planeteers (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,0B404915
Captain Skyhawk (USA) (Rev 1).nes,128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,EFD26E37
Casino Kid (USA).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,05A688C8
Casino Kid II (USA).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,7329118D
Castelian (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,0AE6C9E2
Castle of Dragon (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,2F2D1FA9
Castlequest (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,12906664
Castlevania (USA) (Rev 1).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,B668C7FC
