# This file is built from NewRisingSun's "NES and Famicom Accurate Cartridge Information Database"
# as available here: http://nerdlypleasures.blogspot.com/2020/04/the-nes-and-famicom-accurate-cartridge.html
# Last retrieved on 2020-05-24
# For now, I've just included the data for the US releases.

# Game Name A-Z, PRG-ROM, CHR-ROM, Misc ROM, Mapper, Mirror + Flag, PPU, PRG-RAM, PRG-RAM B, CHR-RAM, CHR-RAM B, Console, Controller, CRC32

# Licensed NA
# -----------
Freedom Force (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Zapper,3E58A87E
Friday the 13th (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,BEB15855
Fun House (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,576A0DE8
G.I. Joe - A Real American Hero (USA).nes,128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,1D2D93FF
G.I. Joe - The Atlantis Factor (USA).nes,128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,8C8DEDB6
Galaga - Demons of Death (USA).nes,32,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,1DB07C0D
Galaxy 5000 - Racing in the 51st Century (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,1D20A5C6
Gargoyle's Quest II (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,F0E9971B
Garry Kitchen's Battletank (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,90D68A43
Gauntlet (USA).nes,128,64,0,206.00,4,RP2C02,0,0,0,0,Normal,Standard,EC968C51
Gauntlet II (USA).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,FourScore,1B71CCDB
Gemfire (USA).nes,256,256,0,5.00,HB,RP2C02,0,8K,0,0,Normal,Standard,0EC6C023
Genghis Khan (USA).nes,256,0,0,1.00,HB,RP2C02,8K,8K,8K,0,Normal,Standard,2225C20F
George Foreman's KO Boxing (USA).nes,128,256,0,4.03,H,RP2C02,0,0,0,0,Normal,Standard,AF05F37E
Ghost Lion (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,04766130
Ghostbusters (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,6A154B68
Ghostbusters II (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,2AE97660
Ghosts'n Goblins (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,B4E4879E
Ghoul School (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,2BC25D5A
Goal! (USA).nes,256,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,84148F73
Goal! Two (USA).nes,128,128,0,118.00,H,RP2C02,0,0,0,0,Normal,Standard,90C773C1
Godzilla - Monster of Monsters! (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,74386F15
Godzilla 2 - War of the Monsters (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,9FB32923
Golf (USA).nes,16,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,E7D2C49D
Golf Grand Slam (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,CF5F8AF0
Golgo 13 - Top Secret Episode (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,F532F09A
"Goonies II, The (USA).nes",128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,999577B6
Gotcha! - The Sport! (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Zapper,4E959173
Gradius (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,350D835E
"Great Waldo Search, The (USA).nes",128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,2DFF7FDC
Greg Norman's Golf Power (USA).nes,128,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,FourScore,1352F1B9
Gremlins 2 - The New Batch (USA).nes,128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,0ED96F42
"Guardian Legend, The (USA).nes",128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,FA43146B
Guerrilla War (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,6DECD886
"Gumshoe (USA, Europe).nes",128,32,0,66.00,V,any,0,0,0,0,Normal,Zapper,BEB8AB01
Gun Nac (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,D19DCB2B
Gun.Smoke (USA).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,A8784932
Gyromite ~ Gyro (World).nes,32,8,0,0.00,V,any,0,0,0,0,Normal,GyroSet,023A5A32
Gyruss (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,1D41CC8C
Harlem Globetrotters (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,FourScore,2E6EE98D
Hatris (USA).nes,128,0,0,1.00,H,RP2C02,8K,0,8K,0,Normal,Standard,841B69B6
Heavy Barrel (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,34EAB034
Heavy Shreddin' (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,EB15169E
High Speed (USA).nes,128,64,0,119.00,H,RP2C02,0,0,8K,0,Normal,Standard,383CABBF
Hogan's Alley (World).nes,16,8,0,0.00,V,any,0,0,0,0,Normal,Zapper,FF24D794
Hollywood Squares (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,3869E598
Home Alone (USA) (Rev 1).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,F31D36A3
Home Alone 2 - Lost in New York (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,2E0741B6
Hook (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,D8230D0E
Hoops (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,F4615036
Hudson Hawk (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,5A4F156D
"Hunt for Red October, The (USA) (Rev 1).nes",128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,4E77733A
Hydlide (USA).nes,32,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,77BF8B23
"Ice Climber (USA, Europe, Korea).nes",16,8,0,0.00,H,any,0,0,0,0,Normal,Standard,FB98D46E
Ice Hockey (USA).nes,32,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,AE64CA77
Ikari III - The Rescue (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,567E1620
Ikari Warriors (USA) (Rev 1).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,2D273AA4
Ikari Warriors II - Victory Road (USA).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,4F467410
Image Fight (USA).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,058F23A2
"Immortal, The (USA).nes",128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,8889C564
"Incredible Crash Dummies, The (USA).nes",128,256,0,4.03,H,RP2C02,0,0,0,0,Normal,Standard,A80A0F01
Indiana Jones and the Last Crusade (USA) (Taito).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,8BCA5146
Indiana Jones and the Last Crusade (USA) (UBI Soft).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,2EA8CC16
Indiana Jones and the Temple of Doom (USA) (Rev 1).nes,128,64,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,B4C81ADB
Infiltrator (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,DF64963B
Iron Tank - The Invasion of Normandy (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,B14EA4D2
IronSword - Wizards & Warriors II (USA).nes,256,0,0,7.01,H,RP2C02,0,0,8K,0,Normal,Standard,2328046E
Isolated Warrior (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,6944A01A
Ivan 'Ironman' Stewart's Super Off Road (USA).nes,128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,4B041B6B
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,C313EF54
Jackal (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,1D5B03A5
Jackie Chan's Action Kung Fu (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,45A41784
James Bond Jr (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,F6898A59
Jaws (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,27D14A54
Jeopardy! (USA) (Rev 1).nes,128,0,0,7.01,H,RP2C02,0,0,8K,0,Normal,Standard,2A662AC7
Jeopardy! 25th Anniversary Edition (USA).nes,128,0,0,7.01,H,RP2C02,0,0,8K,0,Normal,Standard,0BDD8DD9
Jeopardy! Junior Edition (USA).nes,128,0,0,7.01,H,RP2C02,0,0,8K,0,Normal,Standard,6A88579F
"Jetsons, The - Cogswell's Caper (USA).nes",128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,2BF61C53
Jimmy Connors Tennis (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,00E95D86
Joe & Mac (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,26D3082C
John Elway's Quarterback (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,CF322BB3
Jordan vs Bird - One on One (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,303D4371
Journey to Silius (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,E2C4EDCE
Joust (USA).nes,16,16,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,BE387AF0
"Jungle Book, The (USA).nes",128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,61179BFA
Jurassic Park (USA).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,3B7F5B3B
Kabuki - Quantum Fighter (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,7474AC92
Karate Champ (USA) (Rev 1).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,F42B0DBD
"Karate Kid, The (USA).nes",32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,983948A5
Karnov (USA).nes,128,64,0,206.00,H,RP2C02,0,0,0,0,Normal,Standard,548A2C3C
Kickle Cubicle (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,CD10DCE2
KickMaster (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,5104833E
"Kid Icarus (USA, Europe) (Rev 1).nes",128,0,0,1.00,H,any,8K,0,8K,0,Normal,Standard,D67FD6A6
Kid Klown in Night Mayor World (USA).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,8EE7C43E
Kid Kool and the Quest for the Seven Wonder Herbs (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,AA6BB985
Kid Niki - Radical Ninja (USA) (Rev 1).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,A9415562
King's Knight (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,01B4CA89
King's Quest V (USA).nes,256,256,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,00837960
Kings of the Beach - Professional Beach Volleyball (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,FourScore,F54B34BD
Kirby's Adventure (USA) (Rev 1).nes,512,256,0,4.00,HB,RP2C02,0,8K,0,0,Normal,Standard,5ED6F221
Kiwi Kraze - A Bird-Brained Adventure! (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,563C2CC0
KlashBall (USA).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,F4DFDB14
Knight Rider (USA).nes,64,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,EBCFE7C5
"Krion Conquest, The (USA).nes",128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,03272E9B
Krusty's Fun House (USA).nes,256,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,A0DF4B8F
"Kung Fu (Japan, USA).nes",32,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,D5C64257
Kung-Fu Heroes (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,AA74A4D8
Laser Invasion (USA).nes,128,128,0,5.00,H,RP2C02,0,0,0,0,Normal,Zapper,B0480AE9
Last Action Hero (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,E7DA8A04
"Last Ninja, The (USA).nes",128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,E353969F
"Last Starfighter, The (USA).nes",32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,6997F5E1
Lee Trevino's Fighting Golf (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,88E1A5F4
Legacy of the Wizard (USA).nes,128,64,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,F181C021
"Legend of Kage, The (USA).nes",32,16,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,BBED6E6E
"Legend of Zelda, The (USA) (Rev 1).nes",128,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,EAF7ED72
Legendary Wings (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,A2194CAD
Legends of the Diamond - The Baseball Championship Game (USA).nes,128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,05CE560C
Lemmings (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,A69F29FA
Lethal Weapon (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,7077B075
Life Force (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,C4BC85A2
Little League Baseball - Championship Series (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,859C65E1
"Little Mermaid, The (USA).nes",128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,3BE244EF
Little Nemo - The Dream Master (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,5B4B6056
Little Ninja Brothers (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,BC7FEDB9
Little Samson (USA).nes,256,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,B5E392E2
Lode Runner (USA).nes,16,8,0,0.00,V,RP2C02,0,0,0,0,Normal,BASICKbd,AF5676DE
"Lone Ranger, The (USA).nes",256,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Zapper,23D17F5E
Loopz (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,FD8D6C75
Low G Man - The Low Gravity Man (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,93991433
Lunar Pool (USA).nes,16,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,988B446D
M.C. Kids (USA).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,B0EBF3DB
M.U.L.E. (USA).nes,128,0,0,1.00,H,RP2C02,8K,0,8K,0,Normal,FourScore,0939852F
M.U.S.C.L.E. - Tag Team Match (USA).nes,16,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,8FF31896
"Mach Rider (Japan, USA) (Rev 1).nes",32,8,0,0.00,V,RP2C02,0,0,0,0,Normal,DataRec,38810A91
Mad Max (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,026E41C5
"Mafat Conspiracy, The (USA).nes",128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,8A043CD6
Magic Darts (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,5EB8E707
Magic Johnson's Fast Break (USA).nes,64,128,0,1.00,H,RP2C02,0,0,0,0,Normal,FourScore,C6C2EDB5
"Magic of Scheherazade, The (USA).nes",128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,92197173
Magician (USA).nes,128,128,0,4.00,HB,RP2C02,0,8K,0,0,Normal,Standard,91E2E863
Magmax (USA).nes,32,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,81389607
Major League Baseball (USA) (Rev 1).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,96E6C1CE
Maniac Mansion (USA).nes,256,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,0D9F5BD1
Mappy-Land (USA).nes,128,32,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,83FC38F8
Marble Madness (USA).nes,128,0,0,7.01,H,RP2C02,0,0,8K,0,Normal,Standard,09874777
Mario Bros. (World).nes,16,8,0,0.00,H,any,0,0,0,0,Normal,Standard,C4C3949A
Mario is Missing! (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,2055971A
Mario's Time Machine (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,55DB7E2A
Mechanized Attack (USA).nes,64,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Zapper,5EE6008E
Mega Man (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,6EE4BB0A
Mega Man 2 (USA).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,0FCFC04D
Mega Man 3 (USA).nes,256,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,603AAA57
Mega Man 4 (USA) (Rev 1).nes,512,0,0,4.00,H,RP2C02,0,0,8K,0,Normal,Standard,18A2E74F
Mega Man 5 (USA).nes,256,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,3EDCF7E8
Mega Man 6 (USA).nes,512,0,0,4.00,H,RP2C02,0,0,8K,0,Normal,Standard,988798A8
Mendel Palace (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,12078AFD
Metal Gear (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,817431EC
Metal Storm (USA).nes,128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,BCACBBF4
MetalMech - Man & Machine (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,05378607
Metroid (USA).nes,128,0,0,1.00,H,RP2C02,8K,0,8K,0,Normal,Standard,70080810
Michael Andretti's World GP (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,942B1210
Mickey Mousecapade (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,7C6A3D51
Mickey's Adventure in Numberland (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,6FB349E2
Mickey's Safari in Letterland (USA).nes,128,128,0,4.03,H,RP2C02,0,0,0,0,Normal,Standard,982DFB38
Might & Magic - Secret of the Inner Sanctum (USA).nes,256,256,0,4.00,HB,RP2C02,0,8K,0,0,Normal,Standard,532A27E6
Mighty Bomb Jack (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,AAC2E75E
Mighty Final Fight (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,3F78037C
"Mike Tyson's Punch-Out!! (Japan, USA) (Rev 1).nes",128,128,0,9.00,H,RP2C02,0,0,0,0,Normal,Standard,2C818014
Millipede (USA).nes,16,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,AE52DECE
Milon's Secret Castle (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,586A3277
"Miracle Piano Teaching System, The (USA).nes",256,64,0,1.00,H,RP2C02,8K,0,0,0,Normal,MiraclPno,92C138E4
Mission - Impossible (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,E3C5BB3D
Monopoly (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,FourScore,9747AC09
Monster in My Pocket (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,E542E3CF
Monster Party (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,02B9E7C2
Monster Truck Rally (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,FourScore,2F698C4D
Motor City Patrol (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,0A0926BD
Ms. Pac-Man (USA) (Namco).nes,32,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,B6D2D300
Muppet Adventure - Chaos at the Carnival (USA).nes,128,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,7156CB4D
"Mutant Virus, The - Crisis in a Computer World (USA).nes",128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,7DCB4C18
Mystery Quest (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,B5D28EA2
NARC (USA).nes,128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,0537322A
NES Open Tournament Golf (USA).nes,256,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,F6B9799C
NES Play Action Football (USA).nes,128,128,0,118.00,H,RP2C02,0,0,0,0,Normal,FourScore,B9B4D9E0
NFL (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,35B6FEBF
Nigel Mansell's World Championship Racing (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,4751A751
"Nightmare on Elm Street, A (USA).nes",128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,FourScore,DA2CB59A
Nightshade (USA).nes,256,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,A60CA3D6
Ninja Crusaders (USA).nes,128,0,0,4.00,H,RP2C02,0,0,8K,0,Normal,Standard,3D1C4894
Ninja Gaiden (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,7C4A72D8
Ninja Gaiden II - The Dark Sword of Chaos (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,B780521C
Ninja Gaiden III - The Ancient Ship of Doom (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,902E3168
Ninja Kid (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,02CC3973
Nintendo World Cup (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,FourScore,A22657FA
Nobunaga's Ambition (USA).nes,256,0,0,1.00,HB,RP2C02,8K,8K,8K,0,Normal,Standard,4642DDA6
Nobunaga's Ambition II (USA).nes,256,128,0,5.00,HB,RP2C02,8K,8K,0,0,Normal,Standard,8CE478DB
North and South (USA).nes,128,128,0,4.00,H,RP2C02,8K,0,0,0,Normal,Standard,AE9F33D0
Operation Wolf (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Zapper,EDC3662B
Orb-3D (USA).nes,64,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,958E4BAE
Othello (USA).nes,32,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,699FA085
Overlord (USA).nes,256,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,2856111F
P.O.W. - Prisoners of War (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,75255F88
Pac-Man (USA) (Tengen).nes,16,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,A9BBF44F
Palamedes (USA).nes,32,32,0,1.05,H,RP2C02,0,0,0,0,Normal,Standard,6BB6A0CE
Panic Restaurant (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,435AEEC6
Paperboy (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,32086826
Paperboy 2 (USA).nes,256,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,3A0965B1
Phantom Fighter (USA).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,CC37094C
Pictionary - The Game of Video Quick Draw (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,DC02F095
Pin Bot (USA).nes,128,64,0,119.00,H,RP2C02,0,0,8K,0,Normal,Standard,D19ADDEB
"Pinball (Japan, USA).nes",16,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,035DC2E9
Pinball Quest (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,2538D860
Pipe Dream (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,BCE77871
Pirates! (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,3D0996B2
Platoon (USA) (Rev 1).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,695515A2
Popeye (World) (Rev 1).nes,16,8,0,0.00,H,any,0,0,0,0,Normal,Standard,70860FCA
Power Blade (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,5CF536F4
Power Blade 2 (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,D273B409
Power Punch II (USA).nes,128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,90226E40
Predator (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,A7DE65E4
Prince of Persia (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,70CE3771
Princess Tomato in the Salad Kingdom (USA).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,56756615
Pro Sport Hockey (USA).nes,128,128,0,118.00,H,RP2C02,0,0,0,0,Normal,Standard,41F9E0AA
Pro Wrestling (USA) (Rev 1).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,64B710D2
"Punisher, The (USA).nes",128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,27F8D0D2
Puss 'n Boots - Pero's Great Adventure (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,6E0EB43E
Puzznic (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,EB61133B
Q-bert (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,C0B23520
QIX (USA).nes,128,0,0,1.00,H,RP2C02,8K,0,8K,0,Normal,Standard,95E4E594
R.B.I. Baseball (USA).nes,64,32,0,206.00,V,RP2C02,0,0,0,0,Normal,Standard,3C5C81D4
R.C. Pro-Am (USA) (Rev 1).nes,32,32,0,1.05,H,RP2C02,0,0,0,0,Normal,Standard,AAED295C
R.C. Pro-Am II (USA).nes,256,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,FourScore,9EDD2159
Racket Attack (USA).nes,256,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,ECCD4089
Rad Racer (USA).nes,128,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,8B9D3E9C
Rad Racer II (USA).nes,64,64,0,4.00,4,RP2C02,0,0,0,0,Normal,Standard,404B2E8B
Raid on Bungeling Bay (USA).nes,16,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,D308D52C
